,SBU,PRD号码,产品名称,中文描述,中文文件名（带文件名后缀）,中文版本号,英文描述,英文文件名（带文件名后缀）,英文版本号
,EDR,30282606,Joncryl® 95,技术说明书,Joncryl 95_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 95_TDS_EN_201910.pdf,201910
,EDR,30284453,Joncryl® 1915,技术说明书,Joncryl 1915_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 1915_TDS_EN_201910.pdf,201910
,EDR,30282764,Joncryl® 1980,技术说明书,Joncryl 1980_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 1980_TDS_EN_201910.pdf,201910
,EDR,30743514,Joncryl® 8111 ap,技术说明书,Joncryl 8111 ap_TDS_CN_201912.pdf,201912,Technical Data Sheet,Joncryl 8111 ap_TDS_EN_201912.pdf,201912
,EDR,30718448,Joncryl® 8130 ap,技术说明书,Joncryl 8130 ap_TDS_CN_201912.pdf,201912,Technical Data Sheet,Joncryl 8130 ap_TDS_EN_201912.pdf,201912
,EDR,30282552,Joncryl® 8224,技术说明书,Joncryl 8224_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 8224_TDS_EN_201910.pdf,201910
,EDR,30577187,Joncryl® 8227,技术说明书,Joncryl 8227_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 8227_TDS_EN_201910.pdf,201910
,EDR,30282562,Joncryl® 8330,技术说明书,Joncryl 8330_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 8330_TDS_EN_201910.pdf,201910
,EDR,30715672,Joncryl® 8330 ap,技术说明书,Joncryl 8330 ap_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl 8330 ap_TDS_EN_201910.pdf,201910
,EDR,30450392,Joncryl® HYB 6336,技术说明书,Joncryl HYB 6336_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl HYB 6336_TDS_EN_201910.pdf,201910
,EDR,30627460,Joncryl® HYB 6340,技术说明书,Joncryl HYB 6340_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl HYB 6340_TDS_EN_201910.pdf,201910
,EDR,30747533,Joncryl® HYB 6345 ap,技术说明书,Joncryl HYB 6345 ap_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl HYB 6345 ap_TDS_EN_201910.pdf,201910
,EDR,30436434,Joncryl® U 4190,技术说明书,Joncryl U 4190_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl U 4190_TDS_EN_201910.pdf,201910
,EDR,30282549,Joncryl® 8211,技术说明书,Joncryl 8211_TDS_CN_202002.pdf,202002,Technical Data Sheet,Joncryl 8211_TDS_EN_202002.pdf,202002
,EDR,30282559,Joncryl® OH 8300,技术说明书,Joncryl OH 8300_TDS_CN_202003.pdf,202003,Technical Data Sheet,Joncryl OH 8300_TDS_EN_202003.pdf,202003
,EDR,30288267,Joncryl® OH 8311,技术说明书,Joncryl OH 8311_TDS_CN_202002.pdf,202002,Technical Data Sheet,Joncryl OH 8311_TDS_EN_202002.pdf,202002
,EDR,30650880,Luhydran® S 938 ap,技术说明书,Luhydran S 938 ap_TDS_CN_201910.pdf,201910,Technical Data Sheet,Luhydran S 938 ap_TDS_EN_201910.pdf,201910
,EDR,30682858,Joncryl® OH 8770 AP,技术说明书,Joncryl OH 8770 ap_TDS_CN_201909.pdf,201909,Technical Data Sheet,Joncryl OH 8770 ap_TDS_EN_201909.pdf,201909
,EDR,30675040,Joncryl® OH 8314,技术说明书,Joncryl OH 8314_TDS_CN_201910.pdf,201910,Technical Data Sheet,Joncryl OH 8314_TDS_EN_201910.pdf,201910
,EDR,30364622,Acronal® PRO 761,技术说明书,Acronal PRO 761_TDS_CN_201910.pdf,201910,Technical Data Sheet,Acronal PRO 761_TDS_EN_201910.pdf,201910
,EDR,30625491,Acronal® PRO 763,技术说明书,Acronal PRO 763_TDS_CN_201912.pdf,201912,Technical Data Sheet,Acronal PRO 763_TDS_EN_201912.pdf,201912
,EDR,30625809,Acronal® PRO 780,技术说明书,Acronal PRO 780_TDS_CN_201910.pdf,201910,Technical Data Sheet,Acronal PRO 780_TDS_EN_201910.pdf,201910
