编号,SBU,PRD号码,产品名称,中文描述,中文文件名（带文件名后缀）,中文版本号,只放EDG和EDR，英文部分都不放,,,,,,
1,EDR,30282606,Joncryl® 95,安全说明书,JONCRYL95_SDS_GEN_CN_ZH_7-0_CN16.PDF,CN 7.0,,,,,,,
2,EDR,30284453,Joncryl® 1915,安全说明书,JONCRYL1915_SDS_GEN_CN_ZH_7-1_CN16.PDF,CN 7.1,,,,,,,
3,EDR,30282764,Joncryl® 1980,安全说明书,JONCRYL1980_SDS_GEN_CN_ZH_4-1_CN16.PDF,CN 4.1,,,,,,,
4,EDR,30743514,Joncryl® 8111 ap,安全说明书,JONCRYL8111AP_SDS_GEN_CN_ZH_3-0_CN16.PDF,CN 3.0,,,,,,,
5,EDR,30718448,Joncryl® 8130 ap,安全说明书,JONCRYL8130AP_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
6,EDR,30282552,Joncryl® 8224,安全说明书,JONCRYL8224_SDS_GEN_CN_ZH_6-0_CN16.PDF,CN 6.0,,,,,,,
7,EDR,30577187,Joncryl® 8227,安全说明书,JONCRYL8227_SDS_GEN_CN_ZH_4-0_CN16.PDF,CN 4.0,,,,,,,
8,EDR,30282562,Joncryl® 8330,安全说明书,JONCRYL8330_SDS_GEN_CN_ZH_8-1_CN16.PDF,CN 8.1,,,,,,,
9,EDR,30715672,Joncryl® 8330 ap,安全说明书,JONCRYL8330AP_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
10,EDR,30450392,Joncryl® HYB 6336,安全说明书,JONCRYLHYB6336_SDS_GEN_CN_ZH_4-2_CN16.PDF,CN 4.2,,,,,,,
11,EDR,30627460,Joncryl® HYB 6340,安全说明书,JONCRYLHYB6340_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
12,EDR,30747533,Joncryl® HYB 6345 ap,安全说明书,JONCRYLHYB6345AP_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
13,EDR,30436434,Joncryl® U 4190,安全说明书,JONCRYLU4190_SDS_GEN_CN_ZH_2-1_CN16.PDF,CN 2.1,,,,,,,
14,EDR,30282549,Joncryl® 8211,安全说明书,JONCRYL8211_SDS_GEN_CN_ZH_5-0_CN16.PDF,CN 5.0,,,,,,,
15,EDR,30282559,Joncryl® OH 8300,安全说明书,JONCRYLOH8300_SDS_GEN_CN_ZH_7-0_CN16.PDF,CN 7.0,,,,,,,
16,EDR,30288267,Joncryl® OH 8311,安全说明书,JONCRYLOH8311_SDS_GEN_CN_ZH_3-0_CN16.PDF,CN 3.0,,,,,,,
17,EDR,30650880,Luhydran® S 938 ap,安全说明书,LUHYDRANS938AP_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
18,EDR,30682858,Joncryl® OH 8770 AP,安全说明书,JONCRYLOH8770AP_SDS_GEN_CN_ZH_2-0_CN16.PDF,CN 2.0,,,,,,,
19,EDR,30675040,Joncryl® OH 8314,安全说明书,JONCRYLOH8314_SDS_GEN_CN_ZH_1-0_CN16.PDF,CN 1.0,,,,,,,
