uid,type,SBU（部门）,PRD号码,产品名称,巴斯夫产品名称,产品别名,默认商店,线上购买链接,品牌,产品描述,产品分类,化学成分,外观,行业,特性和优点,应用行业,注册国家,"固含量
（%）",稀释剂[浓度],含水量,官能度，计算值,"分子量 
(Mw)","粘度, 25?C
(mPa.s)","粘度, 23?C
(Pa.s)",%NCO,K值,氯质量分数(%),酸值 （mg KOH/g）,"密度, 25?C (g/cm3)",玻璃化温度(?C),胺值 （mg KOH/g）,"pH 
(25oC)",最低成膜温度 (℃),冻融稳定性(-5 °C),羟值（mg KOH/g solids）,羟基含量（%基于固含）,软化点 (oC),VOC,粒径大小 nm,细度,色度 （Gardner),溶剂,包装,产地,样品包装,推荐配方
uid,type,field_product_sbu,field_product_prd,title,field_product_name,field_other_names,stores,field_buy_link,field_product_brand,body,field_product_type,field_generic_chemical_name,field_physical_form,field_suitable_application,field_benefits,应用行业,field_country_registration_group,field_solid_content,field_thinner,field_free_formaldehyde_content,field_calculated_value,field_molecular_weight,field_viscosity,field_functional_group,field__nco,field_molar_mass,field_boiling_point,field_acid_value,field_density,field_glass_transition_temperatu,field__oh,field_ph,field_minimum_film_forming_tempe,field_freeze_thaw_stability,field_hydroxyl_value,field_qiangzhidangliang,field_softening_point,field_total_voc,field_average_particle,field_melting_point,field_hazen_chromafield_ph,field_solvent,field_product_package,field_product_origin,variations,field_formulation
1,default,EDR,30282606,Joncryl? 95,Joncryl? 95,Joncryl? 95,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款丙烯酸溶胶，可应用于水性工业木器漆的着色工艺。,82,丙烯酸溶胶,透明状液体,2,超细粒径  |  最低的木材涨筋  |  良好的展色性,用于木材的着色工艺#用于室内家具或木制品的水性木器漆,CN,30,,,,,100,,,,,,,,,8,20,稳定,,,,,,,,,200kg  |  213.189kg  |  ,"US,NL","54051825,0,11",
1,default,EDR,30284453,Joncryl? 1915,Joncryl? 1915,Joncryl? 1915,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款抗粘连性好的流变控制型丙烯酸乳液，可用于硬板和其他平板木器涂料。,82,丙烯酸流变控制乳液,半透明乳状液体,2,极佳的抗粘连性  |  优异的附着力  |  VOC含量低  |  具有分散颜料能力  |  ,非常适合高PVC底漆，应用于硬板和复合木材,CN,44,,,,,700,,,,,,,,,8.5,< 5,不稳定,,,,,,,,,217.724kg,US,"54057337,0,11",
1,default,EDR,30282764,Joncryl? 1980,Joncryl? 1980,Joncryl? 1980,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款用于工业涂料的自交联丙烯酸乳液,82,丙烯酸乳液,透明乳状液体,2,极佳的耐化学品性  |  耐低温开裂  |  低起泡性  |  良好的耐刮擦性和耐擦伤性  |  ,主要用于对耐各种化学品有要求的木器涂料#室内或室外的水泥基涂料#特种硬质板和塑料,CN,40,,,,,50~250,,,,,,,,,8.5,45,不稳定,,,,,,,,,200kg,US,"54056754,0,11",
1,default,EDR,30743514,Joncryl? 8111 ap,Joncryl? 8111 ap,Joncryl? 8111 ap,1,https://detail.1688.com/offer/614551193884.html,42,首款为木器涂料开发和本地供应的单组分自交联型纯丙烯酸乳液，推荐用于底漆甚至是面漆的应用,82,纯丙烯酸乳液,半透明乳状液体,2,优异的打磨性，适用于底漆  |  干膜透明度和暖木效果良好，适用于清漆  |  快速干燥，抗粘连性好，木材涨筋程度低  |  良好的漆膜硬度和耐化学性，给底材带来更好的保护  |  成膜助剂需求量低，干膜低气味，不含APEO，更加生态友好,推荐用于底漆或面漆，包括清漆或色漆。,CN,41,,,,,40,,,,,,,,,8,33,稳定,,,,,,,,,200kg,CN,"50669040,0,11#50669061,0,12",
1,default,EDR,30718448,Joncryl? 8130 ap,Joncryl? 8130 ap,Joncryl? 8130 ap,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一种新开发的具有出色性能的自交联丙烯酸乳液，特别是在耐化学性和干膜透性上拥有更高的性能，推荐在用于通用的水性木器涂料。,82,自交联丙烯酸乳液,半透明乳液,2,优异的耐化性，尤其是耐污渍  |  超好的干膜透明性和暖木效果，适合清漆使用  |  良好的抗刮擦性，硬度和抗粘连性，漆膜耐用  |  不含APEO，环境更友好，乳液本身低气味  |  本地生产供应，性价比高,推荐用于通用的水性木器涂料,CN,41,,,,,40,,,,,,,,,8,30,稳定,,,,,,,,,200kg,CN,"50612553,0,11#50612554,0,12",
1,default,EDR,30282552,Joncryl? 8224,Joncryl? 8224,Joncryl? 8224,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款性能强劲的流变控制型丙烯酸乳液，可用于工业应用的家具和平板涂料以及金属底漆,82,丙烯酸乳液,半透明乳状液体,"2,6",干燥快，硬度建立迅速  |  出色的抗粘连性，线上应用的耐堆叠性好  |  良好的暖木效果和漆膜外观  |  对各种底材具有非常好的附着力，如三聚氰胺、UV底漆和金属底材  |  和水性UV乳液有良好的相容性,用于家具和平板的透明底漆和面漆,CN,43.5 ~ 46.5,,,,,30 ~ 150,,,,,,,,,7.4 ~ 8.1,10,稳定,,,,,,,,,200kg  |  1000kg  |  ,NL,"51466328,0,11",
1,default,EDR,30577187,Joncryl? 8227,Joncryl? 8227,Joncryl? 8227,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款流变控制型丙烯酸乳液，应用于热带硬木和人造木材的水性防渗色底漆,82,丙烯酸乳液,半透明乳状液体,2,阻隔单宁酸和木材油脂性能优异，防渗色  |  良好适合应用于松木，红枫等底材，尤其是热带类容易渗色的硬木  |  搭配后续白底漆不开裂  |  良好的颜填料相容性  |  ,应用于家具和地板行业的快干底漆，适合热带硬木和人造木材,CN,40,,,,,160,,,,,,,,,9,<0,稳定,,,,,,,,,200kg  |  1000kg  |  ,NL,"50315492,0,11",
1,default,EDR,30282562,Joncryl? 8330,Joncryl? 8330,Joncryl? 8330,1,https://basfinchina.1688.com/page/offerlist_98047612.htm?spm=a2615.7691456.autotrace-categoryNavNew.7.5836dc8buyLxDr,42,一款推荐用于木器涂料的自交联型丙烯酸乳液，它能提供均衡的性能,82,自交联型丙烯酸乳液,半透明乳状液体,"2,6",优异的耐水性和耐水白，提供更好的保护  |  快速建立硬度，最终硬度高，适合更高的质量要求  |  非常好的抗粘连性，适合流水线应用  |  良好的耐化学品性（咖啡，绿茶等）  |  在木材、金属、塑料等底材都有良好的附着力,推荐用于的中端的木器涂料，清漆和实色漆都可以应用,CN,38,,,,,50,,,,,,,,,8.1,33,不稳定,,,,,,,,,200kg,NL,"51466911,0,11",
1,default,EDR,30715672,Joncryl? 8330 ap,Joncryl? 8330 ap,Joncryl? 8330 ap,1,https://detail.1688.com/offer/615053323453.html,42,一款推荐用于木器涂料的自交联型丙烯酸乳液，它能提供均衡的性能,82,自交联型丙烯酸乳液,半透明乳状液体,"2,6",优异的耐水性和耐水白，提供更好的保护  |  快速建立硬度，最终硬度高，适合更高的质量要求  |  非常好的抗粘连性，适合流水线应用  |  良好的耐化学品性（咖啡，绿茶等）  |  在木材、金属、塑料等底材都有良好的附着力,推荐用于的中端的木器涂料，清漆和实色漆都可以应用,CN,38,,,,,50,,,,,,,,,8.1,33,不稳定,,,,,,,,,200kg,CN,"50607103,0,11#50625200,0,12",
